Timestamp,program,Gender,Age,Height,Weight.,Old_Salary,Expected_Salary,Organization,Live_parents,Expenses,Transportation,Transportation_Cost,Entertainment,Hand,Cellphone_Cost,Smoke,Footsize,Alcohol,Tattoo,Sleep,Social_Network,Homework,Work,Travel,Tuition,Coffee
2020/09/14 8:31:47 pm GMT-7,BABI,Female,31,162,55,4000,5000,1. Large Corporation,No,1500,3. Drive,10,300,0. Right-handed,43,No,9.625,1,No,8,8,10,40,Yes,Yes,1
2020/09/14 8:32:14 pm GMT-7,BABI,Male,25,178,73,4000,5800,1. Large Corporation,Yes,400,3. Drive,NA,50,0. Right-handed,80,No,10,4,No,6,15,0,40,Yes,Yes,1
2020/09/14 8:35:40 pm GMT-7,BABI,Male,27,179,70,0,4000,1. Large Corporation,Yes,1500,5. Other,0,300,0. Right-handed,60,No,NA,10,No,7.5,0,4,12,Yes,No,0
2020/09/14 8:39:29 pm GMT-7,BABI,Female,33,164,54,3833,NA,1. Large Corporation,No,2000,2. Public Transport,30,100,0. Right-handed,60,No,8,0,No,8,10,10,40,No,Yes,1
2020/09/14 9:06:18 pm GMT-7,BMGT,Male,29,178,75,0,NA,1. Large Corporation,Yes,1800,3. Drive,100,350,0. Right-handed,60,No,9,1,No,6.5,NA,40,40,Yes,Yes,0
2020/09/15 11:40:49 am GMT-7,BABI,Female,41,166,78,4234,6500,3. Non-profit or Government Agency,No,1805,2. Public Transport,134,55,0. Right-handed,95,Yes,9.8,3,No,7,0,6,35.5,Yes,No,1
2020/09/16 7:02:41 pm GMT-7,BABI,Male,29,165,54,1800,3800,2. Small Company,Yes,500,2. Public Transport,100,60,0. Right-handed,33,No,10,0,No,7,8,8,32,No,Yes,1
2020/09/19 9:04:56 pm GMT-7,BABI,Female,35,158,65,2000,5000,1. Large Corporation,No,2300,2. Public Transport,90,200,0. Right-handed,45,No,6.5,1,No,68,2,5,24,Yes,No,0
2020/09/22 1:24:16 pm GMT-7,BABI,Female,33,164,54,4042,4041,2. Small Company,No,1000,3. Drive,100,300,0. Right-handed,65,No,7.5,0,No,7,10,10,40,Yes,Yes,1
2020/09/22 7:29:14 pm GMT-7,BABI,Male,25,180,79,3900,4500,1. Large Corporation,No,1600,3. Drive,80,600,0. Right-handed,95,No,10,8,No,6.75,5,12,45,Yes,Yes,2
2020/09/23 9:31:22 pm GMT-7,BMGT,Male,24,170,73,2316,5000,2. Small Company,Yes,300,3. Drive,200,300,0. Right-handed,NA,No,10,0,Yes,5,1,40,40,Yes,Yes,4
2020/09/27 9:01:24 am GMT-7,BABI,Female,35,158,65,1500,3000,2. Small Company,No,2000,2. Public Transport,100,300,0. Right-handed,50,No,6,1,No,68,23,45,24,Yes,Yes,0
2020/09/28 10:46:56 am GMT-7,BABI,Male,40,183,86,6000,6500,1. Large Corporation,No,3500,3. Drive,200,300,0. Right-handed,75,No,10,0,No,6,1,25,20,Yes,Yes,1
2021/09/07 7:48:18 pm GMT-7,BABI,Male,22,178,75,5500,7000,1. Large Corporation,No,2000,2. Public Transport,0,400,0. Right-handed,67,No,10,1,No,7.5,8,3,40,No,Yes,2
2021/09/08 1:06:36 pm GMT-7,BABI,Female,48,155,48,NA,NA,2. Small Company,No,NA,3. Drive,100,100,0. Right-handed,75,No,9.4,3,No,7,0,NA,NA,Yes,Yes,1
2021/09/08 8:55:52 pm GMT-7,BABI,Male,26,181,96,4800,5500,3. Non-profit or Government Agency,Yes,200,3. Drive,200,50,1. Left-handed,55,No,11,5,Yes,7,9,5,37.5,Yes,Yes,1.5
2021/09/09 3:31:49 pm GMT-7,BABI,Female,34,150,64,0,3000,2. Small Company,No,2500,2. Public Transport,175,60,0. Right-handed,50,No,512,0,No,8,10,3,0,Yes,No,1
2021/09/09 6:30:34 pm GMT-7,BABI,Male,24,172,165,4300,6000,1. Large Corporation,Yes,1400,3. Drive,50,20,0. Right-handed,30,No,10,1,No,6,8,6,45,Yes,Yes,1
